uuid,Members,Answers,Fully specified name:pt_BR,Fully specified name:en,Short name:pt_BR,Short name:en,Data class,Data type,_version:1,_order:100
2e813cac-33dd-49dd-b0c9-52d3ed682454,,,CS Zongoene AD -,CS Zongoene AD -,CS Zongoene AD -,CS Zongoene AD -,Misc,N/A,,
85af6d78-ffeb-4aef-a8ba-f60763032ee2,,,CS Zonue Tabaco - 1060724,CS Zonue Tabaco - 1060724,CS Zonue Tabaco - 1060724,CS Zonue Tabaco - 1060724,Misc,N/A,,
071f58b9-9000-4235-8df8-5f4295b204e8,,,CS Matewere - 1050219,CS Matewere - 1050219,CS Matewere - 1050219,CS Matewere - 1050219,Misc,N/A,,
5f8147d7-0c19-4aa5-818d-5781daac0b63,,,HC BEIRA - 1070100,HC BEIRA - 1070100,HC BEIRA - 1070100,HC BEIRA - 1070100,Misc,N/A,,
0bee721e-dc53-4b5c-92df-9799df891cc8,,,HC de Quelimane - 1040101,HC de Quelimane - 1040101,HC de Quelimane - 1040101,HC de Quelimane - 1040101,Misc,N/A,,
adc4f1c9-69a0-4163-a02b-ec9b6d50a244,,,HC Maputo - 1110101,HC Maputo - 1110101,HC Maputo - 1110101,HC Maputo - 1110101,Misc,N/A,,
b429f1e1-47a5-4cdd-8ac7-5291ae1c335e,,,HD CAIA - 1070306,HD CAIA - 1070306,HD CAIA - 1070306,HD CAIA - 1070306,Misc,N/A,,
bfc206ed-9863-40df-91f4-3dd0019d317c,,,HD Catandica - 1060200,HD Catandica - 1060200,HD Catandica - 1060200,HD Catandica - 1060200,Misc,N/A,,
ecf7855a-13f6-4105-874e-a9a2e2122589,,,HD Chiure - 1020406,HD Chiure - 1020406,HD Chiure - 1020406,HD Chiure - 1020406,Misc,N/A,,
4e3c940e-5986-42c5-9fcb-63da194f1994,,,HD Gilé - 1040407,HD Gilé - 1040407,HD Gilé - 1040407,HD Gilé - 1040407,Misc,N/A,,
c8ab6f0f-5d6b-46de-af1c-a0915215502d,,,HD Gondola - 1060300,HD Gondola - 1060300,HD Gondola - 1060300,HD Gondola - 1060300,Misc,N/A,,
662d1b41-cfc3-44ab-a4fb-72215adbc221,,,HD Gurue - 1040500,HD Gurue - 1040500,HD Gurue - 1040500,HD Gurue - 1040500,Misc,N/A,,
0a2bfe54-155a-4ae3-b499-d028930a7938,,,HD Mandimba - 1010601,HD Mandimba - 1010601,HD Mandimba - 1010601,HD Mandimba - 1010601,Misc,N/A,,
d8c5e8bf-2c07-4f5d-ae1f-77c77826bfc2,,,HD Manhiça - 1100407,HD Manhiça - 1100407,HD Manhiça - 1100407,HD Manhiça - 1100407,Misc,N/A,,
a8ba9bc7-a36a-443c-bad9-ca7208e9d3f6,,,HD Manica - 1060706,HD Manica - 1060706,HD Manica - 1060706,HD Manica - 1060706,Misc,N/A,,
739782f6-1b21-4e0b-8898-1b80f68ad25a,,,HD Mapai - 1090401,HD Mapai - 1090401,HD Mapai - 1090401,HD Mapai - 1090401,Misc,N/A,,
4474097b-0c24-4697-9a3b-32c070901f1f,,,HD Mapai AD -,HD Mapai AD -,HD Mapai AD -,HD Mapai AD -,Misc,N/A,,
c7230f3b-c268-4868-9e33-9aa64b704ea7,,,HD Marrupa - 1010706,HD Marrupa - 1010706,HD Marrupa - 1010706,HD Marrupa - 1010706,Misc,N/A,,
6547673d-175c-4b46-a88e-1248f92bbcfb,,,HD Massinga - 1080901,HD Massinga - 1080901,HD Massinga - 1080901,HD Massinga - 1080901,Misc,N/A,,
5dbc9aa5-bd8e-4a5d-b106-56e6b29b7d0e,,,HD Memba - 1030901,HD Memba - 1030901,HD Memba - 1030901,HD Memba - 1030901,Misc,N/A,,
27c2f443-1ac5-4707-9191-9b5a2eeee2e4,,,HD Milange - 1041000,HD Milange - 1041000,HD Milange - 1041000,HD Milange - 1041000,Misc,N/A,,
